Force      Sigma1       Sigma2      Eps1        Eps2        U       RF1     RF2
33.6033603360336 1.48595154317604 -0.8342184102040925 1.2382929526467e-05 -6.951820085034104e-06 0.000396253744846944 25.26117623399268 -8.342184102040925
34.20342034203421 1.5124863921613265 -0.8491151675291657 1.2604053268011055e-05 -7.0759597294097145e-06 0.00040332970457635376 25.71226866674255 -8.491151675291658
34.8034803480348 1.5390212411466127 -0.8640119248542387 1.2825177009555105e-05 -7.200099373785322e-06 0.00041040566430576336 26.163361099492416 -8.640119248542387
35.4035403540354 1.565556090131899 -0.8789086821793116 1.3046300751099159e-05 -7.32423901816093e-06 0.0004174816240351731 26.614453532242283 -8.789086821793116
36.003600360036 1.5920909391171856 -0.8938054395043847 1.3267424492643214e-05 -7.448378662536539e-06 0.00042455758376458284 27.065545964992154 -8.938054395043848
36.60366036603661 1.6186257881024722 -0.9087021968294581 1.3488548234187267e-05 -7.57251830691215e-06 0.00043163354349399255 27.516638397742028 -9.08702196829458
37.2037203720372 1.6451606370877585 -0.923598954154531 1.370967197573132e-05 -7.696657951287757e-06 0.00043870950322340226 27.967730830491895 -9.23598954154531
37.8037803780378 1.6716954860730449 -0.938495711479604 1.3930795717275374e-05 -7.820797595663367e-06 0.00044578546295281197 28.418823263241762 -9.38495711479604
38.4038403840384 1.6982303350583312 -0.9533924688046772 1.4151919458819427e-05 -7.944937240038977e-06 0.0004528614226822217 28.86991569599163 -9.533924688046772
39.00390039003901 1.7247651840436178 -0.9682892261297503 1.437304320036348e-05 -8.069076884414586e-06 0.0004599373824116314 29.321008128741504 -9.682892261297503
39.603960396039604 1.7513000330289041 -0.9831859834548233 1.4594166941907534e-05 -8.193216528790194e-06 0.0004670133421410411 29.77210056149137 -9.831859834548233
40.2040204020402 1.7778348820141905 -0.9980827407798962 1.4815290683451588e-05 -8.317356173165802e-06 0.0004740893018704508 30.223192994241238 -9.980827407798962
40.804080408040804 1.804369730999477 -1.0129794981049696 1.5036414424995643e-05 -8.441495817541413e-06 0.00048116526159986057 30.67428542699111 -10.129794981049695
41.40414041404141 1.8309045799847634 -1.0278762554300427 1.5257538166539694e-05 -8.565635461917023e-06 0.0004882412213292702 31.12537785974098 -10.278762554300426
42.004200420042004 1.8574394289700498 -1.0427730127551156 1.547866190808375e-05 -8.689775106292629e-06 0.00049531718105868 31.576470292490846 -10.427730127551156
42.6042604260426 1.8839742779553361 -1.0576697700801887 1.56997856496278e-05 -8.813914750668239e-06 0.0005023931407880896 32.02756272524071 -10.576697700801887
